,0,1
0,4.3837587940835646e-05,1.1974832729016174e-05
1,0.00014006591948707392,6.122995988605662e-05
2,5.576074919345773e-05,2.122804159784742e-05
3,0.00013473066618459125,9.527762827697641e-05
4,2.600333181208629e-05,1.2241199042101391e-05
5,9.426910892339469e-05,5.5144634753874556e-05
6,4.7400578931409024e-05,7.1018280706770155e-06
7,0.00016253500752541966,0.00013278543959899174
8,7.30651820775131e-05,1.600261193007319e-05
9,5.6091063165342195e-05,4.161052895253648e-05
10,8.058583606559188e-05,2.6308906392022082e-05
11,0.0004026183950643152,0.00036135424726594213
12,4.97372590935601e-05,2.2704188384743912e-05
13,7.257443782175186e-05,3.605696177703879e-05
14,6.394300708368866e-05,3.9347460806686186e-05
15,0.00011618583216309685,7.954701358034922e-05
16,0.0009766836446112122,0.0006609417288216838
17,7.261026977581033e-05,3.046568342199353e-05
18,0.00011815063730766553,3.83864713141422e-05
19,4.9704494534942243e-05,1.3499893307386065e-05
20,0.00011333750026876088,9.345895672898282e-05
21,0.0008515359776009357,0.000498358841057277
22,0.002323186540576547,0.00220164157777015
23,7.031417739673481e-05,4.110588653988576e-05
24,0.00013185555214950467,0.00013183973259621792
25,0.00011345803075345993,3.244588508925734e-05
26,4.698414184074221e-05,8.591557214503398e-06
27,0.0007141286355964653,0.0005759065465521829
28,6.40055590883399e-05,3.772136167597858e-05
29,0.00021067389597673964,0.0001119696968857774
30,5.821325282432642e-05,2.0524881786905096e-05
31,5.5723188960247055e-05,9.128862636305213e-06
32,8.729415541784267e-05,2.6219768587405502e-05
33,0.002891039924106529,0.002174079174273256
34,0.0012048508047529916,0.0009757831789569525
35,3.3197422827615654e-05,1.0040422625511598e-05
36,8.343163034876912e-05,7.13264386103263e-05
37,6.677557334454678e-05,5.044673398751291e-05
38,8.324706191226396e-05,2.1770997244862216e-05
39,8.316887071092758e-05,2.9965932019529305e-05
40,2.7443123184532776e-05,5.548908625449049e-06
41,0.00029072907585587067,0.00028398018559095306
42,6.524280031959033e-05,2.9481007554188216e-05
43,2.0131892257452348e-07,2.0131892257452348e-07
44,1.977488270918511e-08,1.977488270918511e-08
45,7.877835054235164e-05,6.1278984631550835e-06
46,3.4066119742689575e-05,1.1875097889785576e-05
47,8.272017851460362e-05,4.995092173635251e-05
48,2.1804177410261686e-05,1.0214806714731907e-06
49,7.356107955868823e-05,6.158084606258775e-05
50,0.0008596927577455666,0.0007688972177060707
51,2.1269984392002067e-07,2.1269984392002067e-07
52,4.1387729976624254e-05,1.7398206059149654e-05
53,0.00011299482472809931,0.00010149670487072442
54,0.00012078120170464235,8.423900026053399e-05
55,0.00032527530793817017,0.00029092290433209347
56,4.0311692746962375e-05,5.321238546684767e-06
57,5.655083008789618e-05,1.2679038383331027e-05
58,4.6762000393697134e-07,4.6762000393697134e-07
